Model,RMSE,MAE,R²,MAPE
Linear Regression,544.4595838567103,473.86568688698054,0.046996449064951484,96.6032070633587
Ridge Regression,544.4597469297886,473.86736504441416,0.04699587818971851,96.60396214106649
Lasso Regression,544.3546985580231,473.89440724652064,0.047363589022553,96.67568672031625
Elastic Net,548.2909349254828,478.35158279025194,0.03353672381410189,98.35934805760776
Random Forest,558.1983441301129,485.0199,-0.0017060868232308124,97.72716874719802
Gradient Boosting,547.1908139957825,475.69366793166705,0.037411162555917366,96.52492142737101
Neural Network,551.3445137697879,477.913222454226,0.02274176238768877,97.9074887930098
